N,mpi4
64,0.004634
128,0.008701
192,0.018418
256,0.023337
320,0.042925
384,0.069406
448,0.113504
512,0.210005
576,0.326531
640,0.412540
704,0.586948
768,0.775189
832,1.011081
896,1.266200
960,1.642726
1024,1.884176
